# Country Name: Please see filename.

graphical_culture = easterngfx

color = { 93  54  87 } # Dark variation of Byzantium colour

revolutionary_colors = { 5  8  5 }

historical_idea_groups = {
	bureaucracy_ideas
	diplomacy_ideas
	fortification_ideas
}

historical_units = { # Greek Group
	eastern_toxotai_infantry
	eastern_horse_archer_cavalry
	eastern_skoutatoi_infantry
	eastern_pronoia_cavalry
	eastern_latinikon_infantry
	eastern_deli_cavalry
	eastern_draby_infantry
	eastern_pomeste_cavalry
	eastern_drabant_infantry
	eastern_light_cossack_cavalry
	eastern_slavic_western_infantry
	eastern_reiter_cavalry
	eastern_regular_infantry
	eastern_armeblanche_cavalry
	eastern_bayonet_infantry
	eastern_uhlan_cavalry
	eastern_drill_infantry
	eastern_columnar_infantry
	eastern_lancer_cavalry
	eastern_breech_infantry
}

monarch_names = {
	"Ioánnes #5" = 40
	"Aléxios #5" = 30
	"Konstantínos #10" = 20
	"Andrónikos #4" = 20
	"Manouél #1" = 20
	"Rhomanós #4" = 20
	"Demétrios #0" = 15
	"Theódoros #2" = 15
	"Michaél #9" = 10
	"Andréas #0" = 10
	"Thomás #0" = 10
	"Issákios #2" = 10
	"Basíleios #2" = 10
	"Léon #6" = 10
	"Hadrianós #1" = 5
	"Anastásios #2" = 5
	"Ioulianós #3" = 5
	"Ioustinianós #2"= 5
	"Ioustínos #2" = 5
	"Konstántios #3" = 5
	"Márkos #1" = 5
	"Nikephóros #3" = 5
	"Theóphilos #1" = 5
	"Theodósios #3" = 5
	"Tibérios #3" = 5
	"Traïanós #1" = 5
	"Aléxandros #1" = 5
	"Phílippos #1" = 5
	"Herákleios #1" = 5
	"Athanásios #0" = 1
	"Antónios #0" = 1
	"Bartholomaíos #0" = 1
	"Christóphoros #0" = 1
	"Diogénes #0" = 1
	"Dionýsios #0" = 1
	"Eirenaíos #0" = 1
	"Elpídios #0" = 1
	"Geórgios #0" = 1
	"Gregórios #0" = 1
	"Hektórios #0" = 1
	"Iáson #0" = 1
	"Kýrillos #0" = 1
	"Matthaíos #0" = 1
	"Nikétas #0" = 1
	"Nikólaos #0" = 1
	"Nikódemos #0" = 1
	"Sérgios #0" = 1
	"Porphýrios #0" = 1
	"Paúlos #0" = 1
	"Panagiótes #0" = 1
	"Pétros #0" = 1
	"Philémon #0" = 1
	"Prokópios #0" = 1
	"Stéphanos #0" = 1
	
	"Eiréne #1" = -20
	"Theodóra #1" = -20
	"Zoé #1" = -10
	"Heléne #0" = -10
	"Alexándra #0" = -10
	"Antonía #0" = -5
	"Ánna #0" = -5
	"Artemísia #0" = -1
	"Euphrosýne #0" = -1
	"Laskarína #0" = -1
	"Mantó #0" = -1
	"Thalía #0" = -1
	"Sebasté #0" = -1
	"Sophía #0" = -1
}

leader_names = {
	Aarónios Aboúres Akropolítes Agállon Anemás Ángelos Aoúnos Apíon Apokápes Apókaukos Áprenos Arbantenós Argyrós Arianítes Aspiétes Atrapés Axoúch Axoúchos
	Balsamón Batátzes Blastós Botaneiátes Boumbáles Bourtzés Branás Bryénnios
	Chalkokondýles Chandrenós Choniatés Choúmnos Chrysáphes Chrysolorás
	Daimonoïoánnes Dalassenós Dermokaítes Diasórenos Diogénes Diplobatátzes Dokeianós Doúkas Doúx
	Eirenikós Exázenos
	Gabrás Gérontas Glabás
	Hadrianós
	Iágares
	Kabákes Kaballários Kaballáres Kabásilas Kalamános Kallérges Kalóethes Kalóthetos Kamaterós Kamýtzes Kantakouzenós Karatzás Kastamonítes Katakalón Katakalós
	Katráres Kaukadenós Keroulários Komnenós Kontóstaulos Kontostéphanos Korésses Kourkoúas Kourtikés Kourtíkios
	Láskaris Lebídes Limpidáres
