province;red;green;blue;
205;157;58;0;Savoia
206;29;60;64;Santiago
207;157;62;128;Asturies
208;29;64;192;Lli�n
209;157;66;255;Rioja
210;30;68;0;Nafarroa
211;158;70;64;Alto Arag�
212;30;72;128;Girona
213;158;74;192;Barcelona
214;30;76;255;Zaragoza
215;158;78;0;Castilla la Vieja
216;30;80;64;Salamanca
217;159;82;128;Castilla la Nueva
218;31;84;192;Trujillu
219;159;86;255;La Mancha
220;31;88;0;Val�ncia
221;159;90;64;Murc�a
222;31;92;128;Al Mariyya
223;159;94;192;Gharnata
224;32;96;255;Huelva
225;160;98;0;C�rdoba
226;32;100;64;Malaqa
227;160;102;128;Ja�n
228;32;104;192;Barlavento
229;160;106;255;Ribatejo
230;32;108;0;Estremadura
231;161;110;64;Beira Litoral
232;33;112;128;Minho
233;161;114;192;Kernow
234;33;116;255;Wessex
235;161;118;0;Kent
236;33;120;64;London
237;161;122;128;Oxford
238;34;124;192;Durham
239;162;126;255;Gloucester
240;34;128;0;Warwick
241;162;130;64;Forgannwg
242;34;132;128;Gaernarfon
243;162;134;192;Lincoln
244;34;136;255;Lancaster
245;163;138;0;York
246;35;140;64;Northumberland
247;163;142;128;Hereford
248;35;144;192;Midlowden
249;163;146;255;Ayr
250;35;148;0;Aiberdeen
251;163;150;64;Athall
252;36;152;128;Earra Ghaidheal
253;164;154;192;Ross
254;36;156;255;Nakelskie
255;164;158;0;Kujawy
256;36;32;64;Mazowieckie
257;164;34;128;Plockie
258;36;36;192;Peremyshl
259;165;38;255;Lubelskie
260;37;40;0;Galicina
261;165;42;64;Zhitomir
262;37;44;128;Krakowskie
263;165;46;192;Sieradzkie
264;37;48;255;Neumark
265;165;50;0;Brnensko
266;38;52;64;Litomericko
267;166;54;128;Budejovicko
268;38;56;192;Praha
269;166;58;255;Teschen
270;38;60;0;Hradecko
271;168;86;192;Podlachia
272;38;64;128;Dzukija
273;167;66;192;Latgola
274;39;68;255;Pskov
275;167;70;0;Polatsk
276;39;72;64;Braclav
277;167;74;128;Samoyeds
278;39;76;192;Komi
279;167;78;255;Zyrian
280;40;80;0;Kyiv
281;168;82;64;Severniy Ural
282;40;84;128;Crimea
283;166;62;64;Brestie
284;40;88;255;Dykra
285;168;90;0;Pryazovia
286;40;92;64;Copa
287;169;94;128;Kuban
288;41;96;192;Zaozerye
289;169;98;255;Chernigov
290;41;100;0;Kostroma
291;169;102;64;Beloozero
292;41;104;128;Starya Rusa
293;169;106;192;Smolenskaya ziemlya
294;42;108;255;Tver
295;170;110;0;Moskva
296;42;112;64;Grodno
297;170;114;128;Vicebsk
298;42;116;192;Briansk
299;170;118;255;Pereyaslavl
300;42;120;0;Zaporizhzhia
301;171;122;64;Ryazan
302;43;124;128;Donbas
303;171;126;192;Desht-i-Kipchak
304;43;128;255;Yeletsky
305;171;130;0;Kursk
306;43;132;64;Murom
307;171;134;128;Vladimir
308;44;136;192;Yaroslavl
309;172;138;255;Severnaya Rus
310;44;140;0;Velikiye Luki
311;172;142;64;Starodub
312;44;144;128;Vologda
313;172;146;192;Vorotynsk
314;44;148;255;Bjarmia
315;173;150;0;Olonets
316;45;152;64;Bolu
317;173;154;128;Bergama
318;45;156;192;Manisa
319;173;158;255;Sivrihisar
320;45;32;0;Rodos
321;173;34;64;Lefkosia
322;46;36;128;Demirci
323;174;38;192;Eng�r�
324;46;40;255;K�tahya
325;174;42;0;Antalya
326;46;44;64;G�nen
327;174;46;128;Toroslar
328;46;48;192;Sinop
329;175;50;255;Karaman
330;47;52;0;Trapezounta
331;175;54;64;Konya
332;47;56;128;Antakya
333;175;58;192;Mallorcha
334;47;60;255;Tanja
335;175;62;0;Riyafa
336;48;64;64;Taourirt
337;176;66;128;Wahran
338;48;68;192;Arzew
339;176;70;255;Jabal Jurjura
340;48;72;0;Annaba
341;176;74;64;Tunis
342;48;76;128;Ouadanne
343;177;78;192;Fes
344;49;80;255;Mekn�s
345;177;82;0;Arguin
346;49;84;64;Warzazat
347;177;86;128;Tadla
348;49;88;192;Tilchitt
349;177;90;255;Sijilmassa
350;50;92;0;Al-Jaza'er
351;178;94;64;Biserta
352;50;96;128;Toongau
353;178;98;192;Medhia
354;50;100;255;Tarabulus
355;178;102;0;Sirt
356;50;104;64;Barqa
357;179;106;128;Lemosi
358;51;108;192;Al Iskandariyya
359;179;110;255;Al Suways
360;51;112;0;Qus
361;179;114;64;Al Qahira
362;51;116;128;Rasheed
363;179;118;192;Dumyat
364;52;120;255;Nabulus
365;180;122;0;Carpathians
366;52;124;64;Achinet
367;180;126;128;Os A�ores
368;52;128;192;Madeira
369;180;130;255;Orkney
370;52;132;0;Sk�lholt
371;181;134;64;H�lar
372;53;136;128;T�r Chonaill
373;181;138;192;An Ph�il
374;53;140;255;Loch Garman
375;181;142;0;Deas-Mhumhain
376;53;144;64;Gaillimhe
377;181;146;128;Halab
378;54;148;192;Tarabulus Al Sham
379;182;150;255;Al Quds
380;54;152;0;Yanbu'
381;182;154;64;Mstsislaw
382;54;156;128;Dimashq
383;182;158;192;Karnah
384;54;32;255;Al Mad�na
385;183;34;0;Makka
386;55;36;64;Dihistan
387;183;38;128;Sarakhs
388;55;40;192;'Aden
389;183;42;255;Hadramut
390;55;44;0;Yazd
391;183;46;64;Berry
392;56;48;128;Ahvaz
393;184;50;192;Kazima
394;56;52;255;Hafuf
395;184;54;0;Qatr
396;56;56;64;Al Bahrayn
397;184;58;128;Qatif
398;56;60;192;Basrah
399;185;62;255;East Anglia
400;57;64;0;Musqat
401;185;66;64;Wusta
402;57;68;128;Dhufar
403;185;70;192;Ramlat al Wahiba'
404;57;72;255;Shabwah
405;185;74;0;Golestan
406;58;76;64;Sahra' al Nefud
407;186;78;128;Temassek
408;58;80;192;Champassak
409;186;82;255;Cumberland
410;58;84;0;Baghdad
411;186;86;64;Sharizhor
412;58;88;128;Kermanshah
413;187;90;192;Khorramabad
414;59;92;255;Isfahan
415;187;94;0;Samawah
416;59;96;64;Tabriz
417;187;98;128;Gilan
418;59;100;192;Van
419;187;102;255;Hayastan
420;60;104;0;Nicobar
421;188;106;64;Lakshadweep
422;60;108;128;Kakheti
423;188;110;192;Kartli
424;60;112;255;Shirvan
425;188;114;0;Derbent
426;60;116;64;Mazandaran
427;189;118;128;Chester
428;61;120;192;San'a
429;189;124;0;Fars
430;61;124;0;Bastaki
431;189;126;64;Qishm
432;61;128;128;K�h-i-Rud
433;189;130;192;Sabzevar
434;62;132;255;Makran
435;190;134;0;Kerman
436;62;136;64;Bukhara
437;190;138;128;Nik Shahr
438;62;140;192;Kara-Kum
439;190;142;255;Mangyshlak
440;62;144;0;Karakalpak
441;191;146;64;Karakiya
442;63;148;128;Khiva
443;191;150;192;Ust-Yurt
444;63;152;255;Kish
445;191;154;0;Merv
446;63;156;64;Biarjmand
447;191;158;128;Herat
448;64;32;192;Qalat
449;192;34;255;Ghor
450;64;36;0;Qonduz
451;192;38;64;Kabulistan
452;64;40;128;Bamiyan
453;192;42;192;Badakhshan
454;64;44;255;Tashkent
455;193;46;0;Lebap
456;65;48;64;Hazarasp
457;193;50;128;Samarqand
458;65;52;192;Ferghana
459;193;54;255;Kurkala-usu
460;65;56;0;Kulja
461;193;58;64;Almatu
462;66;60;128;Mangystau
463;194;62;192;Zanjan
464;66;64;255;Sirjan
465;194;66;0;Al Mahra
466;66;68;64;Al Batinah
467;194;70;128;Abu Dabi
468;66;72;192;Bampur
469;195;74;255;Buraydah
470;67;76;0;Al'Ula
471;195;78;64;Tyuratam
472;67;80;128;Khazakh
473;195;82;192;Asir
474;67;84;255;Tihamat Al Yanan
475;195;86;0;Qostanai
476;68;88;64;Akhsikath
477;196;90;128;He'ergun
478;68;92;192;Chuguchak
479;196;94;255;Qaragandha
480;68;96;0;Kish
481;196;98;64;Bermuda
482;68;100;128;Lucayas
483;197;102;192;Caicos
484;69;104;255;Guanahatabey
485;197;106;0;Cubanacan
486;69;108;64;Bayaquitiri
487;197;110;128;Xamaica
488;69;112;192;Guanabo
489;197;114;255;Magua
490;70;116;0;Maguana
491;198;118;64;K�rsou
492;70;120;128;Igneri
493;198;122;192;Caribs
494;70;124;255;Caniba
495;198;126;0;Kalinago
496;70;128;64;Wadadli
497;199;130;128;Karuk�ra
498;71;132;192;Wai'tu Kubuli
499;199;134;255;Galibi
500;71;136;0;Garifuna
501;199;138;64;Ichirouganaim
502;71;140;128;Suppoya
503;199;142;192;Kachchh
504;72;144;255;Thurr
505;200;146;0;Sehwan
506;72;148;64;Aopuni
507;200;150;128;Nizampatnam
508;72;152;192;Adinapur
509;200;154;255;Ladakh
510;72;156;0;Sirhind
511;201;158;64;Bhattiana
512;73;32;128;Marwar
513;201;34;192;Tonga
514;73;36;255;Gorwar
515;201;38;0;Gujar�tta
516;73;40;64;Ahmadabad
517;201;42;128;Banglana
518;74;44;192;Udaipur
519;202;46;255;Nagaur
520;74;48;0;Hadoti
521;202;50;64;Panipat
522;74;52;128;Jindh
523;202;54;192;Kumaon
524;74;56;255;Braj
525;203;58;0;Ajmer
526;75;60;64;Malwa
527;203;62;128;Mandla
528;75;64;192;Mandsaur
529;203;66;255;Konkan
530;75;68;0;Maharashtra
531;203;70;64;Gov�
532;76;72;128;Mangaluru
533;204;74;192;Kannur
534;76;76;255;Kozhikode
535;204;78;0;Thiruvithaamkoor
536;76;80;64;Tirunelveli
537;204;82;128;Karaikal
538;76;84;192;Madurai
539;205;86;255;Tiruchchirapalli
540;77;88;0;Mysuru
541;205;90;64;Arcot
542;77;92;128;Madraspatnam
543;205;94;192;Kondavidu
544;77;96;255;Vijayanagara
545;205;98;0;Haydar�b�d
546;78;100;64;Gondoranya
547;206;102;128;Tirupati
548;78;104;192;Sambalpur
549;206;106;255;Surguja
550;78;108;0;Gird
551;206;110;64;Sistan
552;78;112;128;Garhjat
553;207;114;192;Yannam
554;79;116;255;Baisi Rajya
555;207;118;0;Oudh
556;79;120;64;Bundelkhand
557;207;122;128;Katmandu
558;79;124;192;Patna
559;207;126;255;Kukara
560;80;128;0;Orissa
561;208;130;64;Bengal
562;80;132;128;Sikkim
563;208;134;192;Sunderbans
564;80;136;255;Bari Doab
565;208;138;0;Bhutan
566;80;140;64;Darrang
567;209;142;128;Silhet
568;81;144;192;Chittagong
569;209;146;255;Manipur
570;81;148;0;Ahom
571;209;150;64;Brahmaputra
572;81;152;128;Jaffna
573;209;154;192;Kotte
574;82;156;255;Andaman
575;210;158;0;Balochistan
576;82;32;64;Lasbela
577;210;34;128;Quetta
578;82;36;192;Hazarajat
579;210;38;255;Rakhinetha
580;82;40;0;Chin
581;211;42;64;Meng Mit
582;83;44;128;Mong Kawng
583;211;46;192;Hsenwi
584;83;48;255;Ava
585;211;50;0;Mrauk U
586;83;52;64;Thanlyin
587;211;54;128;Yawnghwe
588;84;56;192;Mong Tong
589;212;58;255;Nan
590;84;60;0;Moulmein
591;212;62;64;Tanaosri
592;84;64;128;Nakhon Si Thamarat
593;212;66;192;Surat Thani
594;84;68;255;Songkhla
595;213;70;0;Perak
596;85;72;64;Malacca
597;213;74;128;Johore
598;85;76;192;Pahang
599;213;78;255;Kelantan
600;85;80;0;Ayutthaya
601;213;82;64;Suktho Thai
602;86;84;128;Lopburi
603;214;86;192;Chonburi
604;86;88;255;Lavack
605;214;90;0;Prey Nokor
606;86;92;64;Panduranga
607;214;94;128;Indrapura
608;86;96;192;Mondulkiri
609;215;98;255;Yasodharapura
610;87;100;0;Thanh Hoa
611;215;102;64;Savanh Nakhane
612;87;104;128;Nakhon Ratchasima
613;215;106;192;Hai Phong
614;87;108;255;Vieng Chan
615;215;110;0;Luang Prabang
616;88;112;64;Cao Bang
617;216;114;128;Aceh
618;88;116;192;Batak
619;216;118;255;Minangkabau
620;88;120;0;Jambi
621;216;122;64;Bengkulu
622;88;124;128;Srivijaya
623;217;126;192;Lampung
624;89;128;255;Bantam
625;217;130;0;Mataram
626;89;132;64;Kediri
627;217;134;128;Blambangan
628;89;136;192;Pasisir
629;217;138;255;Lombok
630;90;140;0;Ceribon
631;218;142;64;Balidwipa
632;90;144;128;Semawa
633;218;146;192;Palu�
634;90;148;255;Sumba
635;218;150;0;Kupang
636;90;152;64;Brunei
637;219;154;128;Sabah
638;91;156;192;Kutai
639;219;158;255;Kampung Melantai
640;91;32;0;Banjarmasin
641;219;34;64;Makassar
642;91;36;128;Toraja
643;219;38;192;Gorontalo
644;92;40;255;Minahasa
645;220;42;0;Xulla
646;92;44;64;Buru
647;220;46;128;Seran
648;92;48;192;Tidore
649;220;50;255;Ternate
650;92;52;0;Kanaky
651;221;54;64;Sulu
652;93;56;128;Cotabato
653;221;58;192;Davao
654;93;60;255;Leyte
655;221;62;0;Palawan
656;93;64;64;Cebu
657;221;66;128;Ilokos
658;94;68;192;Bicol
659;222;70;255;Bangka
660;94;72;0;Lijiang
661;222;74;64;Yongchang
662;94;76;128;Lin'an
663;222;78;192;Yunnan
664;94;80;255;Ningyuan
665;223;82;0;Kuizhou
666;95;84;64;Chamdo
667;223;86;128;Guiyang
668;95;88;192;Anshun
669;223;90;255;Chenzhou
670;95;92;0;Changsha
671;223;94;64;Taiping
672;96;96;128;Guilin
673;224;98;192;Leizhou
674;96;100;255;Qiongzhou
675;224;102;0;Gaozhou
676;96;104;64;Hong Kong
677;224;106;128;Macao
678;96;108;192;Huizhou
679;225;110;255;Zhangzhou
680;97;112;0;Fuzhou
681;225;114;64;Ganzhou
682;97;116;128;Ji'an
683;225;118;192;Hengzhou
684;97;120;255;Jingzhou
685;225;122;0;Chongqing
686;98;124;64;Enshi
687;226;126;128;Yunyang
688;98;128;192;Xiangyang
689;226;130;255;Fengyang
690;98;132;0;Liu-tcheou
691;226;134;64;Huizhou
692;98;136;128;Wenzhou
693;227;138;192;Quzhou
694;99;140;255;Songjiang
695;227;142;0;Ningguo
696;99;144;64;Huai'an
697;227;146;128;Dengzhou
698;99;148;192;Yanzhou
699;227;150;255;Qingzhou
700;100;152;0;Zhangde
701;228;154;64;Kaifeng
702;100;156;128;Henan
703;228;158;192;Shunde
704;100;32;255;Baoding
705;228;34;0;Hejian
706;100;36;64;Yongping
707;229;38;128;Liaoning
708;101;40;192;Dadu
709;229;42;255;Xuande
710;101;44;0;Wuzhou
711;229;46;64;Zhaoqing
712;101;48;128;Raozhou
713;229;50;192;Juu Uda
714;102;52;255;Timika
715;230;54;0;Uliastai
716;102;56;64;Tanimbar
717;230;58;128;T�shiyet�
718;102;60;192;Dahanerduo
719;230;62;255;Ulunber
720;102;64;0;Xilin Gol
721;231;66;64;Malgal
722;103;68;128;Ordos
723;231;70;192;Morgen
724;103;72;255;Zhending
725;231;74;0;Alachuka
726;103;76;64;Tsitsihar
727;231;78;128;Aigun
728;104;80;192;Yilan Hala
729;232;82;255;Ningguta
730;104;84;0;Paeseo
731;232;86;64;Jilin
732;104;88;128;Gwanbuk
733;232;90;192;Haeseo
734;104;92;255;Yeongseo
735;232;94;0;Yanggwang
736;105;96;64;Yeongnam
737;233;98;128;Honam
738;105;100;192;Sandakan
739;233;102;255;Aksu
740;105;104;0;Changtang
741;233;106;64;Yabaraya
742;106;108;128;Yanonami
743;234;110;192;Orinoco
744;106;112;255;Essequibo
745;234;114;0;Tapanahomi
746;106;116;64;Apalai
747;234;118;128;Wayapi
748;106;120;192;Tupi
749;235;122;255;Tembe
750;107;124;0;Kuruya
751;235;126;64;Urubu'kaapoor
752;107;128;128;Apinay�
753;235;130;192;Tupinamba
754;107;132;255;Potiguana
755;235;134;0;Tapeba
756;108;136;64;Xucuru
757;236;138;128;Fulni�
758;108;140;192;Piaui
759;236;142;255;Kraho
760;108;144;0;Guajajara
761;236;146;64;Maxacali
762;108;148;128;Nac-Poruk
763;237;150;192;Pankararu
764;109;152;255;Karapoto
765;237;154;0;Tupiniki
766;109;156;64;Tux�
767;237;158;128;Xobleng
768;109;32;192;Mehinaco
769;237;34;255;Piquiri
770;110;36;0;Aweikoma
771;238;38;64;Xavante
772;110;40;128;Charrua
773;238;42;192;Korowai
774;110;44;255;Izoce�o
775;238;46;0;Chaku
776;110;48;64;Chan�es
777;239;50;128;Jayapura
778;111;52;192;Diduhet
779;239;54;255;Chechehet
780;111;56;0;Pampa
781;239;58;64;Ranq�lche
782;111;60;128;M�nekenk
783;239;62;192;Aonikenk
784;112;64;255;Huilliche
785;240;66;0;Tehuelche
786;112;68;64;Pehuenche
787;240;70;128;B�o B�o
788;112;72;192;Huarpe
789;240;74;255;Taluhet
790;112;76;0;Qom-lik
791;241;78;64;Calchaqui
792;113;80;128;Pasto
793;241;82;192;Quito
794;113;84;255;Omaguaca
795;241;86;0;Atacama
796;113;88;64;Hatun Canar
797;241;90;128;Huancavilcas
798;114;92;192;Chuquimayo
799;242;94;255;Yolngu
800;114;96;0;Chaqu
801;242;98;64;Bororo
802;114;100;128;Baur�
803;242;102;192;Moxos
804;114;104;255;Sechura
805;243;106;0;Vlor�
806;115;108;64;Chanchan
807;243;110;128;Chachapoyas
808;115;112;192;Huamanga
809;243;114;255;Chimu
810;115;116;0;Payungu
811;243;118;64;Kasha Marka
812;116;120;128;Moche
813;244;122;192;Panatahuas
814;116;124;255;Shipibo
815;244;126;0;Ucayali
816;116;128;64;Pachacamac
817;244;130;128;Wudjari Nyungar
818;116;132;192;Zaparo
819;245;134;255;Hu�nuco
820;117;136;0;Huancayo
821;245;138;64;Putomayo
822;117;140;128;Otaku
823;245;142;192;Tumaco
824;117;144;255;Achagua
825;245;146;0;Kamemtxa
826;118;148;64;Chibchan
827;246;150;128;Chocoan
828;118;152;192;Waimiri
829;246;154;255;Yaruro
830;118;156;0;Maracaibo
831;246;158;64;Waraoni
832;118;32;128;Kareguaje
833;247;34;192;Tunebo
834;119;36;255;Cuzcatlan
835;128;38;79;Cueva
836;0;40;126;Huetares
837;128;42;173;Tologalpa
838;0;44;32;Miskitu
839;128;46;79;Lenca
840;0;48;126;K'iche'
841;129;50;173;Xelaju
842;1;52;32;Ch'orti'
843;129;54;79;Chactemal
844;1;56;126;Tak'alik A'baj'
845;129;58;173;Ah Canul
846;1;60;32;Cupul
847;129;62;79;Tototepec
848;2;64;126;Cuextecapan
849;130;66;173;Yopihtzinco
850;2;68;32;Yohualtepec
851;130;70;79;Tinda'i
852;2;72;126;Tepannecapan
853;130;74;173;Tamaholipan
854;2;76;32;Cihuatlan
855;131;78;79;Cazc�n
856;3;80;126;Zapotlan
857;131;82;173;Zacatecapan
858;3;84;32;Sepinpicam
859;131;86;79;Autl�n
860;3;88;126;Acaxee
861;131;90;173;Coachichitl
862;4;92;32;Comcaac
863;132;94;79;Paikawa
864;4;96;126;N�ayarite
865;132;98;173;Cochimi
866;4;100;32;Waicura
867;132;102;79;Yuhaviatam
868;4;104;126;Payomkowishum
869;133;106;173;Yuki
870;5;108;32;Wintoon
871;133;110;79;Ohlone
872;5;112;126;Siuslaw
873;133;114;173;Yakama
874;5;116;32;Holikochuk
875;133;118;79;Kalapuya
876;6;120;126;Ahjumawi
877;134;122;173;Kawaiisu
878;6;124;32;En-ne-sen
879;134;126;79;Opata
880;6;128;126;Tarahumara
881;134;130;173;Chiricahua
882;6;132;32;Xicuahua
883;135;134;79;Guamare
884;7;136;126;Tonkawa
885;135;138;173;Mescallero
886;7;140;32;Jicarilla
887;135;142;79;Towakoni
888;7;144;126;Auia
889;135;146;173;Tua'tah
890;8;148;32;Natiskuan
891;136;150;79;Lappland
892;8;152;126;Hasi-nay
893;136;154;173;Hadai
894;8;156;32;Pariki
895;136;158;79;Cicuye
896;8;160;126;Teyas
897;137;32;173;Kitsay
898;9;34;32;Pitahauerat
899;137;36;79;Quivira
900;9;38;126;Harahey
901;137;40;173;Chaui
902;9;42;32;UmoNhoN
903;137;44;79;Kitkehahki
904;10;46;126;Tuscarora
905;138;48;173;Pah� S�pa
906;10;50;32;Ihantowan
907;138;52;79;Wetar
908;10;54;126;Neepawa
909;138;56;173;Misipawistik
910;10;58;32;Winnipeg
911;139;60;79;Onigamiinsing
912;11;62;126;Mnisota
913;139;64;173;Mdewakantan
914;11;66;32;Wahpatowan
915;139;68;79;Wahpekute
916;11;70;126;Monacan
917;139;72;173;Bah-kho-je
918;12;74;32;Kanza
919;140;76;79;Anishnaabe
920;12;78;126;Bodewadmi
921;140;80;173;Yatasi
922;12;82;32;Koasati
923;140;84;79;Hitchiti
924;12;86;126;Yuchi
925;141;88;173;Misi-ziibi
926;13;90;32;Zaisan
927;141;92;79;Timucua
928;13;94;126;Quinipissa
929;141;96;173;Anhaica
930;13;98;32;Esaw
931;141;100;79;Euchee
932;14;102;126;Pee Dee
933;142;104;173;Yamasee
934;14;106;32;Niuachi
935;142;108;79;Tanasi
936;14;110;126;Shakori
937;142;112;173;Isanyathi
938;14;114;32;Enok
939;143;116;79;Quiripi
940;15;118;126;Adirondack
941;143;120;173;Peewaareewa
942;15;122;32;Chiscas
943;143;124;79;Ho-Chunk
944;15;126;126;Shikaakwa
945;143;128;173;Potawatami
946;16;130;32;Misi-zaagi
947;144;132;79;Manidou Minising
948;16;134;126;Miskwasiniing
949;144;136;173;Piankeshaw
950;16;138;32;Occaneeshi
951;144;140;79;Waayaahtanwa
952;16;142;126;Pasquotank
953;145;144;173;Potoskeet
954;17;146;32;Mingo
955;145;148;79;Onondaga
956;17;150;126;Erieehronon
957;145;152;173;Millioke
958;17;154;32;Myaamia
959;145;156;79;Cayuga
960;18;158;126;Wenrohronon
961;146;160;173;Sewpois
962;18;32;32;Remkoke
963;146;34;79;Navasink
964;18;36;126;Ramopough
965;146;38;173;Metoac
966;18;40;32;Matabesic
967;147;42;79;Shawmut
968;19;44;126;Onyota
969;147;46;173;Pocumtuc
970;19;48;32;Machigonne
971;147;50;79;Peskotomuhkat
972;19;52;126;Nuu-chah-nulth
973;147;54;173;Niederstift
974;20;56;32;Bamberg
975;148;58;79;Chilkat
976;20;60;126;Liyonn�s
977;148;62;173;Tionek
978;20;64;32;Koktokay
979;148;66;79;Niumi
